"model","log_marginal","post_prob"
"null",-18.2216095434544,0.975657793244258
"x1",-21.918464874836,0.0241976754284521
"int12_3",-27.1113794317842,0.000134437215917648
"x3",-29.8945540563168,8.31384892388962e-06
"x2",-32.0683163086696,9.45690828629406e-07
"int12_4",-32.4128631940264,6.70061038615941e-07
"x4",-33.817392684722,1.64488279750798e-07
"int12",-42.7234295038002,2.22993555702983e-11
"main",-52.9155271965645,8.35450119649306e-16
"int13_2",-53.5118068342009,4.60213727886962e-16
"int23_1",-54.3917351985501,1.90902464981289e-16
"int14_2",-56.1919733713066,3.1548450343902e-17
"int24_1",-57.2176937274026,1.13113213576338e-17
"int13_4",-63.2541859748569,2.70332379948288e-20
"int34_1",-65.6777157892971,2.39536909899762e-21
"int14_3",-65.9345000340694,1.85290205158121e-21
"int14",-67.5938191011079,3.52548886758657e-22
"int13",-67.6063016467932,3.48175531263909e-22
"int24",-68.2294074581194,1.86718277128823e-22
"int34",-68.5961351254914,1.29395457107934e-22
"int23",-68.6187719077081,1.26499264241293e-22
"int23_4",-74.0126720231809,5.74839950666995e-25
"int34_2",-74.1849566079335,4.83865546014451e-25
"int24_3",-75.1375423080675,1.86647417740953e-25
"int124_3",-85.0878456391768,8.90553789276143e-30
"int123_4",-86.130078776452,3.14068265108932e-30
"int234_1",-111.75699594513,2.33021149851588e-41
"int134_2",-113.760418198923,3.14282436381711e-42
"full",-184.453077019666,6.25012170667339e-73
