"model","log_marginal","post_prob"
"null",-9.63614270452619,0.999972157639869
"x1",-20.5363232307123,1.84543882739197e-05
"x2",-21.4052962797632,7.73943850177284e-06
"x4",-23.4331337100577,1.01866374009128e-06
"x3",-23.9138678614889,6.29869614739951e-07
"int12_3",-44.47799100075,7.38525429171267e-16
"int13_2",-48.7885265409796,9.91570629757384e-18
"int12_4",-48.9915835102586,8.09351420427371e-18
"int23_1",-49.7203472762919,3.90516196748157e-18
"main",-51.4559598815676,6.8844947622432e-19
"int14_2",-52.0767413727643,3.70058255998494e-19
"int24_1",-52.6410069862134,2.10480882272539e-19
"int12",-60.1315587475229,1.17518802976409e-22
"int24_3",-62.3651418764004,1.25914148074517e-23
"int14_3",-63.123176670099,5.90016563081158e-24
"int23_4",-63.4618839790466,4.20499504299761e-24
"int13",-63.9699846496812,2.52988145005127e-24
"int13_4",-64.2103963922261,1.98925600383204e-24
"int34_1",-64.3462801338599,1.73650931908023e-24
"int23",-65.1914376786131,7.45812847455268e-25
"int34_2",-65.520094344156,5.36903313237926e-25
"int14",-66.8772862452649,1.38189527050708e-25
"int34",-67.1027898592728,1.10291020521052e-25
"int24",-67.1563959094881,1.04534427104926e-25
"int124_3",-105.144581758992,3.32047222259814e-42
"int123_4",-106.354614259528,9.90123603131041e-43
"int234_1",-109.902819944965,2.84920215237136e-44
"int134_2",-110.485765739179,1.59057122757387e-44
"full",-205.132389188436,1.25039384518529e-85
