"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"int12_3",29.9410752816182,0.997310467341811,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int12_4",23.6925610508558,0.00192812473808129,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int13_2",21.5480808138777,0.000225839130592031,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"main",21.5145130560939,0.000218384042667191,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int23_1",21.2835794990847,0.000173351551030149,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int12",21.0519510121692,0.000137509517455038,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"x1",17.3181342574827,3.28667487655036e-06,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int24_1",16.4819315933319,1.42429038425595e-06,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int14_2",16.3211943841354,1.21280578340364e-06,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"x2",13.9933635658978,1.1825708786964e-07,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"null",13.6124371341887,8.07965715704204e-08,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int34",13.4400581930293,6.80032564097571e-08,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int24",12.816173232322,3.64401297014581e-08,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int13",12.8140070797783,3.63612802526101e-08,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int14",12.6595821286139,3.11582646541407e-08,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int23",12.5823126490564,2.88413478982726e-08,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"x3",5.8365088683119,3.3911749480184e-11,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"x4",5.05143315818879,1.54666460339268e-11,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int123_4",-4.21748881841583,1.45866136074103e-15,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int124_3",-4.80514732362106,8.10471285732543e-16,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int34_1",-7.02305615317145,8.82088310385246e-17,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int13_4",-7.07425861251831,8.38060016624375e-17,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int14_3",-7.50556324580487,5.44454885220653e-17,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int34_2",-8.76448397184287,1.54603590058249e-17,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int24_3",-9.38378430097758,8.32263519911793e-18,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int23_4",-9.45531596126546,7.74809707929147e-18,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int234_1",-10.7136541441013,2.20143427742277e-18,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int134_2",-11.6176781680891,8.91441974077858e-19,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"full",-60.1439523267694,7.50585179333278e-40,1,100,"medium",0.4472136,200201,"int12_3","int12_3",1
"int12_3",12.5560300630598,0.942034000515551,2,100,"medium",0.4472136,200202,"int12_3","int12_3",1
"int12_4",9.76371593693875,0.0577271293141553,2,100,"medium",0.4472136,200202,"int12_3","int12_3",1
"int12",3.71816624758416,0.0001367196982032,2,100,"medium",0.4472136,200202,"int12_3","int12_3",1
"main",2.70525626148667,4.96512141960832e-05,2,100,"medium",0.4472136,200202,"int12_3","int12_3",1
"int13_2",2.45732733732233,3.87485726830528e-05,2,100,"medium",0.4472136,200202,"int12_3","int12_3",1
