"model","log_marginal","post_prob"
"int12_3",14.7266985008757,0.995849450230484
"int12_4",9.21249065396449,0.00401239469895767
"int12",5.84371297835387,0.000138153563882653
"int23_1",-6.61947998868048,5.34153600594907e-10
"int13_2",-6.67662358545326,5.0448587550758e-10
"main",-6.75433926051197,4.6676418237196e-10
"int24",-12.9567709982954,9.44964828733806e-13
"int34",-14.8712006046394,1.39312289783159e-13
"int23",-15.2757525245779,9.29597108152634e-14
"int13",-15.3612316308095,8.53437378250262e-14
"null",-18.2321009118717,4.83469379004111e-15
"x1",-18.8941683721421,2.49365706721845e-15
"int124_3",-19.0638244728905,2.10453435562514e-15
"int123_4",-20.9396397089858,3.22477793603538e-16
"x2",-32.1303208876827,4.45090914299056e-21
"x3",-33.5307075674027,1.097156351296e-21
"x4",-34.3417236588351,4.87583171912331e-22
"int234_1",-34.644134032911,3.60340893886919e-22
"int14_2",-49.5714671742963,1.18537329451916e-28
"int24_1",-53.9539126864444,1.48109609040612e-30
"int14_3",-59.2129782575916,7.70193905996778e-33
"int14",-61.5117573134139,7.73130878199775e-34
"int13_4",-64.4308728620752,4.17346950151905e-35
"int34_1",-64.4388090662927,4.14047907778327e-35
"full",-76.9638264249318,1.50488970040069e-40
"int34_2",-79.1204737489533,1.74134425572644e-41
"int23_4",-79.1329836496795,1.71969590365045e-41
"int24_3",-79.2564896009007,1.51989541074426e-41
"int134_2",-108.339040408599,3.55977352046684e-54
