"model","log_marginal","post_prob"
"int12_3",304.748215656197,0.999996030845062
"int12",292.311262276852,3.96915493554023e-06
"int12_4",270.943316396913,2.08313332498368e-15
"int123_4",249.452162458447,9.66557068946373e-25
"int124_3",245.33483699638,1.57433000617167e-26
"int13_2",157.667834739413,1.32984323341263e-64
"main",156.73910694961,5.25362528547366e-65
"int23_1",151.750506181844,3.58044748025412e-67
"int13",146.020889530847,1.1630447165118e-69
"int24",143.76609766268,1.21998009971586e-70
"int34",142.191526857273,2.52653509014789e-71
"int14",141.485663777566,1.24730566229903e-71
"full",141.258864443031,9.94203286403173e-72
"int23",140.62270927124,5.26255337487732e-72
"int24_1",139.190773915225,1.25694099256105e-72
"int14_2",138.321065695816,5.26751049458628e-73
"int134_2",102.126516486633,1.00580181043569e-88
"int234_1",97.242389234444,7.60961874603146e-91
"x1",60.8578431844169,1.20158728040847e-106
"x2",56.3710981239908,1.35265393712233e-108
"null",32.6735619436282,6.90999134025835e-119
"int13_4",29.7656617081866,3.77218059765464e-120
"int34_1",25.2394865975746,4.08225004281585e-122
"int14_3",24.3872118210581,1.74085007185999e-122
"x4",21.6500196715695,1.1272335943015e-123
"x3",20.5310444520683,3.68170646483841e-124
"int34_2",18.5460422269646,5.05793969692576e-125
"int24_3",18.4794515772461,4.73209762229049e-125
"int23_4",18.349514657681,4.15549542299425e-125
