"model","log_marginal","post_prob"
"int12_3",314.326402794461,0.999999901780574
"int12",298.190341068231,9.82194255999029e-08
"int12_4",277.252308597705,7.92365259637297e-17
"int123_4",251.105192973727,3.4944384307537e-28
"int124_3",249.808657371522,9.55650596733132e-29
"int13_2",176.071142116505,9.04697001302086e-61
"int23_1",172.380902368622,2.25866796063504e-62
"main",172.293867710641,2.07039742911705e-62
"int13",159.950506272894,9.02401812970583e-68
"int24",158.730868600171,2.66512785235846e-68
"int14",158.718989351453,2.63365544014643e-68
"int34",156.622662733861,3.23694912390408e-69
"int23",156.284552078653,2.3083214204153e-69
"int14_2",149.842549170381,3.67764636659696e-72
"int24_1",149.674836789365,3.1098067694626e-72
"full",140.802396726706,4.35995136103576e-76
"x1",130.694848717043,1.7775806668972e-80
"int134_2",117.4610985431,3.18042122244043e-86
"int234_1",111.833651776038,1.14423588722985e-88
"int13_4",99.3569078638026,4.36450033767608e-94
"int14_3",96.6959597917306,3.04999738573881e-95
"int34_1",95.5427080681472,9.62606095215877e-96
"null",28.3256656583814,6.18668492519446e-125
"x3",20.1497833647786,1.74067396656245e-128
"x2",13.8115736576344,3.07657802095296e-131
"x4",12.5027620610871,8.31109561901566e-132
"int23_4",-25.5294968394995,2.52614400381212e-148
"int34_2",-25.5313985838532,2.52134448888812e-148
"int24_3",-25.848545380864,1.83610318128084e-148
