"id","alpha_true"
1,-0.409788888332022
2,-0.755760538203847
3,0.342494743875928
4,-0.783156190811753
5,-0.242357988504854
6,-0.0405494590464374
7,-0.22603556435282
8,-1.19512555853901
9,-0.326243891748802
10,0.0520266925665016
11,-0.550619968082822
12,-0.202433014078094
13,0.345749251289905
14,-0.495220841121362
15,0.0607018695116393
16,-0.550867449807482
17,0.446235261976935
18,0.437190939556505
19,0.34621558874354
20,-0.0823259843576407
21,0.296970120657977
22,0.360177322085285
23,0.31376790482653
24,1.13680285950397
25,0.324112468899194
26,-0.256766706684449
27,0.122667444528099
28,-0.349460477413913
29,-0.130101802054266
30,-0.103556728656619
31,0.315366336701518
32,-0.596180490884079
33,0.180352294617909
34,-0.032881514311525
35,-0.305894620432218
36,0.619294107771943
37,0.277183918813884
38,0.0208937362522416
39,0.405873465408788
40,-0.75829021347129
41,0.365705729519412
42,0.984750983509127
43,-0.144360711507837
44,0.395715349595991
45,-0.191877039229791
46,0.0484699359107752
47,-0.307326825169302
48,-0.195966743626921
49,-1.03990880209166
50,-0.262902923634838
