"model","log_marginal","post_prob"
"int12_3",293.688382333135,0.999875466194552
"int12",284.697529507989,0.000124528323902787
"int12_4",274.66662810272,5.48154538064428e-09
"int123_4",257.456576785238,1.83938522408648e-16
"int124_3",256.36770575965,6.19130238397187e-17
"full",196.893300396612,9.17013970044192e-43
"int13_2",143.573946420086,6.3984494207144e-66
"main",142.602771705874,2.42269599787666e-66
"int23_1",141.872755231976,1.167499748202e-66
"int14_2",138.034183369027,2.51296371094742e-68
"int24_1",137.082718476818,9.70443520572313e-69
"int13",128.477115436592,1.77666010715231e-72
"int14",127.793855080995,8.97156377588245e-73
"int34",127.3280622907,5.63088827248265e-73
"int23",126.579162675483,2.66277174413744e-73
"int24",126.414745832379,2.25906440221482e-73
"x1",118.362867783756,7.19519231961812e-77
"int134_2",82.3003478094447,1.56779392859512e-92
"int234_1",79.7469282393731,1.21998066849541e-93
"int13_4",76.5348413546217,4.91316488881574e-95
"int34_1",74.9080192570262,9.65698328157017e-96
"int14_3",74.8348278750373,8.97542177563933e-96
"null",41.011059974565,1.83475935132567e-110
"x2",34.5526685312624,2.8756454830539e-113
"x3",27.9913765989648,4.06632853132322e-116
"x4",26.8583265698276,1.30955905647637e-116
"int24_3",-7.9955228182896,9.55631872434281e-132
"int23_4",-8.37734903177841,6.52327381471438e-132
"int34_2",-8.76703603783119,4.41800997448394e-132
