"id","alpha_true"
1,0.00617984269787689
2,0.0809816399730376
3,-0.0749056730204506
4,-0.0329654512869797
5,0.0666105532917578
6,-0.133619116397527
7,0.0530706643824082
8,0.102608496197622
9,-0.0731819415734934
10,-0.0285069818703645
11,-0.051643330714696
12,-0.162443671556257
13,0.195284295129729
14,0.0994631190677534
15,-0.000492898778086269
16,-0.029695303004503
17,0.0216757238858862
18,-0.0721926632763822
19,-0.0658837100516653
20,-0.000651877150588115
21,-0.219689769198716
22,0.135720207977378
23,-0.0168430134452348
24,-0.011440859150029
25,0.0660931459958486
26,-0.0235074480561616
27,0.0850486354800686
28,-0.0690333052690305
29,0.0618107173730671
30,-0.0126733389012569
31,-0.0813844967062727
32,-0.0246908082816805
33,0.0191739317816753
34,-0.170305553629
35,0.0032263040924115
36,-0.195423068589928
37,0.0276850171760034
38,-0.0638733156679905
39,0.165920659000499
40,0.145449462155015
41,0.203590634317508
42,-0.331084488808429
43,0.0937973099404088
44,-0.014971298857561
45,-0.161218937519389
46,0.092799855921888
47,-0.0508668980742122
48,0.24757017794953
49,-0.194060657275066
50,-0.128924718955066
