"rep","n","tau_label","tau_sd","seed","n_y0","n_y1","n_y01","true_model","chosen_model","correct","chosen_post_prob"
31,500,"small",0.1,600131,8,0,8,"int12_3","int12_3",1,0.999999892677533
32,500,"small",0.1,600132,5,1,6,"int12_3","int12_3",1,0.999999828897388
33,500,"small",0.1,600133,2,1,3,"int12_3","int12_3",1,0.999999896489459
34,500,"small",0.1,600134,5,3,8,"int12_3","int12_3",1,0.9999996254029
35,500,"small",0.1,600135,6,2,8,"int12_3","int12_3",1,0.999999878766271
36,500,"small",0.1,600136,7,0,7,"int12_3","int12_3",1,0.999999824171722
37,500,"small",0.1,600137,5,1,6,"int12_3","int12_3",1,0.999999897999881
38,500,"small",0.1,600138,11,2,13,"int12_3","int12_3",1,0.999999756214111
39,500,"small",0.1,600139,8,0,8,"int12_3","int12_3",1,0.999999885520077
40,500,"small",0.1,600140,5,1,6,"int12_3","int12_3",1,0.999999892421196
41,500,"small",0.1,600141,5,3,8,"int12_3","int12_3",1,0.999999901217021
42,500,"small",0.1,600142,6,1,7,"int12_3","int12_3",1,0.999999425051728
43,500,"small",0.1,600143,3,0,3,"int12_3","int12_3",1,0.999999853929584
44,500,"small",0.1,600144,5,2,7,"int12_3","int12_3",1,0.999999872500734
45,500,"small",0.1,600145,3,1,4,"int12_3","int12_3",1,0.999999356812006
46,500,"small",0.1,600146,5,2,7,"int12_3","int12_3",1,0.99999959352602
47,500,"small",0.1,600147,8,1,9,"int12_3","int12_3",1,0.999999902602824
48,500,"small",0.1,600148,10,1,11,"int12_3","int12_3",1,0.999999888061032
49,500,"small",0.1,600149,6,0,6,"int12_3","int12_3",1,0.999999900978452
50,500,"small",0.1,600150,3,4,7,"int12_3","int12_3",1,0.999999902811585
