"model","log_marginal","post_prob"
"int12_3",355.608404250793,0.999999905870975
"int12",339.429804957459,9.4129025187664e-08
"int12_4",315.116850238519,2.59861228887067e-18
"int124_3",299.786782589559,5.71449294335415e-25
"int123_4",292.676466242335,4.66666414806412e-28
"full",190.826534512793,2.7298778468236e-72
"int13_2",181.78872675703,3.24394272250437e-76
"int23_1",180.71577333646,1.10941856091301e-76
"main",179.284949641136,2.6527516420104e-77
"int24",172.553250067347,3.16341823199714e-80
"int13",166.620604345115,8.38766956678087e-83
"int23",165.119764612598,1.86997111866264e-83
"int24_1",164.730376746117,1.26685204630384e-83
"int14",164.01511170336,6.19569793614837e-84
"int34",163.306527432443,3.05039441612388e-84
"int14_2",156.950062105292,5.2939298393342e-87
"int234_1",125.009538982084,7.11516932492153e-101
"x1",123.351443700594,1.3554503328332e-101
"int134_2",121.460725315314,2.04623282401618e-102
"int14_3",100.410061821809,1.47491859616224e-111
"int13_4",99.3332325363775,5.02466410426654e-112
"int34_1",97.705676268674,9.86889046348608e-113
"x2",31.2632385272399,1.3762085554385e-141
"null",31.160335714274,1.24163552400747e-141
"x3",27.1117464214894,2.16627775562094e-143
"x4",16.9965185097406,8.76448646987534e-148
"int24_3",1.61877778768394,1.83763195881087e-154
"int34_2",-3.8986960924226,7.37989316869317e-157
"int23_4",-5.49980753839293,1.48831962746886e-157
