"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"int12_3",287.751909848266,0.999999892677533,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int12",271.645748055098,1.01200524177116e-07,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int12_4",268.840523648931,6.12194300301193e-09,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int124_3",226.051523478176,1.59905212756986e-27,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int123_4",224.34817658821,2.9114441700741e-28,31,500,"small",0.1,600131,"int12_3","int12_3",1
"main",193.778802681398,1.54169357864982e-41,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int13_2",193.767122260748,1.52379070920432e-41,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int23_1",193.077805073309,7.64819003772807e-42,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int24_1",187.891747404537,4.27841040833658e-44,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int14_2",183.49926713477,5.29239802975059e-46,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int24",182.19329300819,1.43375565022809e-46,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int13",178.317710662353,2.97393255770344e-48,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int14",177.677191997288,1.56731898283728e-48,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int23",177.601446048734,1.45298572038098e-48,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int34",177.601048893171,1.45240877359515e-48,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int234_1",136.226588182116,1.56094961579346e-66,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int134_2",130.06561420716,3.29391118311447e-69,31,500,"small",0.1,600131,"int12_3","int12_3",1
"full",116.240882031118,3.2636756168887e-75,31,500,"small",0.1,600131,"int12_3","int12_3",1
"x2",78.0767230327584,8.69407389979412e-92,31,500,"small",0.1,600131,"int12_3","int12_3",1
"x1",77.845024413168,6.89601020381152e-92,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int24_3",43.6173280573498,9.4123537214543e-107,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int34_2",41.2548725481074,8.86536964584353e-108,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int23_4",41.1458096895958,7.94934692397254e-108,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int13_4",39.2762933625334,1.22577518789188e-108,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int34_1",38.3711195236428,4.95791209936603e-109,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int14_3",38.2827068299681,4.5383885800387e-109,31,500,"small",0.1,600131,"int12_3","int12_3",1
"null",37.4097301617832,1.89571360943071e-109,31,500,"small",0.1,600131,"int12_3","int12_3",1
"x3",30.059929193282,1.21841356138828e-112,31,500,"small",0.1,600131,"int12_3","int12_3",1
"x4",21.8938326194531,3.46181649954375e-116,31,500,"small",0.1,600131,"int12_3","int12_3",1
"int12_3",334.574963579185,0.999999828897388,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int12",318.993961359465,1.7110261190007e-07,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int12_4",283.814611752651,9.01694099933376e-23,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int123_4",272.7358418229,1.39190816101309e-27,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int124_3",271.025796253555,2.51737101035552e-28,32,500,"small",0.1,600132,"int12_3","int12_3",1
"main",166.020959369326,6.27951344518717e-74,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int23_1",165.2864966762,3.01267927515671e-74,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int13_2",164.534520914946,1.42028001554361e-74,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int24",162.920859064242,2.82858698536844e-75,32,500,"small",0.1,600132,"int12_3","int12_3",1
"full",161.33743732755,5.80628321898367e-76,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int14",154.277848693006,4.98836045303833e-79,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int24_1",152.422661051131,7.80297241825935e-80,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int34",151.865525446411,4.46991385061583e-80,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int23",151.286317405156,2.50468028184087e-80,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int13",150.528764124535,1.17422436387251e-80,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int14_2",144.733612820948,3.572307655863e-83,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int234_1",121.224505902159,2.20329903898691e-93,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int134_2",115.18821791679,5.26680066588701e-96,32,500,"small",0.1,600132,"int12_3","int12_3",1
"x1",83.276893393626,7.28844248777719e-110,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int34_1",52.695625101769,3.81380656863006e-123,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int13_4",51.8583692638379,1.6509847892087e-123,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int14_3",51.7423704329278,1.47016276758289e-123,32,500,"small",0.1,600132,"int12_3","int12_3",1
"x2",41.3038039885843,4.30480629509187e-128,32,500,"small",0.1,600132,"int12_3","int12_3",1
"null",30.1052682503749,5.89510218661977e-133,32,500,"small",0.1,600132,"int12_3","int12_3",1
"x3",24.4784167733621,2.12217302873542e-135,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int24_3",16.733778029955,9.19024141962004e-139,32,500,"small",0.1,600132,"int12_3","int12_3",1
"x4",15.0216042409411,1.65859095035617e-139,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int23_4",7.26023932694011,7.06352257096592e-143,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int34_2",6.62771867042727,3.75250350394612e-143,32,500,"small",0.1,600132,"int12_3","int12_3",1
"int12_3",252.745250022052,0.999999896489459,33,500,"small",0.1,600133,"int12_3","int12_3",1
"int12",236.661657671777,1.03510533778071e-07,33,500,"small",0.1,600133,"int12_3","int12_3",1
"int12_4",220.132179597606,6.85998919698761e-15,33,500,"small",0.1,600133,"int12_3","int12_3",1
"int124_3",191.199518163733,1.86650098856751e-27,33,500,"small",0.1,600133,"int12_3","int12_3",1
"int123_4",188.221044957973,9.49497327135739e-29,33,500,"small",0.1,600133,"int12_3","int12_3",1
"int23_1",130.250315946323,6.32595393141989e-54,33,500,"small",0.1,600133,"int12_3","int12_3",1
"main",128.925688503771,1.68208383016995e-54,33,500,"small",0.1,600133,"int12_3","int12_3",1
"int13_2",128.472195287134,1.06880391122674e-54,33,500,"small",0.1,600133,"int12_3","int12_3",1
"int24",121.591026692132,1.09760097603076e-57,33,500,"small",0.1,600133,"int12_3","int12_3",1
