"rep","n","tau_label","tau_sd","seed","n_y0","n_y1","n_y01","true_model","chosen_model","correct","chosen_post_prob"
1,100,"small",0.1,200101,0,0,0,"int12_3","int12_3",1,0.879225081297177
2,100,"small",0.1,200102,2,0,2,"int12_3","int12_3",1,0.930809592689019
3,100,"small",0.1,200103,0,0,0,"int12_3","int12_3",1,0.999837675140232
4,100,"small",0.1,200104,2,0,2,"int12_3","int12_3",1,0.999488615339204
5,100,"small",0.1,200105,1,0,1,"int12_3","int12_3",1,0.999467291658296
6,100,"small",0.1,200106,0,0,0,"int12_3","int12_3",1,0.972630249786473
7,100,"small",0.1,200107,1,0,1,"int12_3","int12_3",1,0.593646795922207
8,100,"small",0.1,200108,2,0,2,"int12_3","int12_3",1,0.982879260659242
9,100,"small",0.1,200109,2,0,2,"int12_3","int12_3",1,0.999569199989267
10,100,"small",0.1,200110,2,0,2,"int12_3","int12_3",1,0.975406533597781
11,100,"small",0.1,200111,0,0,0,"int12_3","int12_3",1,0.999861735644841
12,100,"small",0.1,200112,0,0,0,"int12_3","int12_3",1,0.941064841320079
13,100,"small",0.1,200113,3,1,4,"int12_3","int12_3",1,0.76743900861619
14,100,"small",0.1,200114,0,0,0,"int12_3","int12_3",1,0.979897478423946
15,100,"small",0.1,200115,4,1,5,"int12_3","int12_3",1,0.998228489118847
16,100,"small",0.1,200116,1,1,2,"int12_3","int12_3",1,0.999807949811399
17,100,"small",0.1,200117,2,0,2,"int12_3","int12_3",1,0.999849027588884
18,100,"small",0.1,200118,1,0,1,"int12_3","int12_3",1,0.980306857120836
19,100,"small",0.1,200119,1,0,1,"int12_3","int12_3",1,0.999829713307373
20,100,"small",0.1,200120,0,0,0,"int12_3","int12_3",1,0.982866110726462
21,100,"small",0.1,200121,0,0,0,"int12_3","int12_3",1,0.998248199591241
22,100,"small",0.1,200122,1,0,1,"int12_3","int12_3",1,0.774388567372743
23,100,"small",0.1,200123,2,0,2,"int12_3","int12_3",1,0.997699405402425
24,100,"small",0.1,200124,1,1,2,"int12_3","int12_3",1,0.999873023649232
25,100,"small",0.1,200125,2,1,3,"int12_3","int12_3",1,0.999839007271128
26,100,"small",0.1,200126,1,2,3,"int12_3","int12_3",1,0.999561522598481
27,100,"small",0.1,200127,0,0,0,"int12_3","int12_3",1,0.991043763518867
28,100,"small",0.1,200128,1,1,2,"int12_3","int12_3",1,0.999213044633097
29,100,"small",0.1,200129,0,0,0,"int12_3","int13_2",0,0.561851660934432
30,100,"small",0.1,200130,2,0,2,"int12_3","int12_3",1,0.999870445154528
31,100,"small",0.1,200131,1,0,1,"int12_3","int12_3",1,0.99916328014546
32,100,"small",0.1,200132,1,0,1,"int12_3","int12_3",1,0.99763200769889
33,100,"small",0.1,200133,0,0,0,"int12_3","int12_3",1,0.999665693772375
34,100,"small",0.1,200134,5,0,5,"int12_3","int12_3",1,0.998887423426861
35,100,"small",0.1,200135,4,0,4,"int12_3","int12_3",1,0.996879572806274
36,100,"small",0.1,200136,0,0,0,"int12_3","int12_3",1,0.999639184264225
37,100,"small",0.1,200137,2,0,2,"int12_3","int12_3",1,0.999170640521482
38,100,"small",0.1,200138,0,0,0,"int12_3","int12_3",1,0.99024513545986
39,100,"small",0.1,200139,1,0,1,"int12_3","int12_3",1,0.990576030827499
40,100,"small",0.1,200140,0,0,0,"int12_3","int12_3",1,0.999483970911917
41,100,"small",0.1,200141,3,0,3,"int12_3","int12_3",1,0.99748057402752
42,100,"small",0.1,200142,1,0,1,"int12_3","int12_3",1,0.999602107569678
43,100,"small",0.1,200143,1,0,1,"int12_3","int12_3",1,0.936551279421394
44,100,"small",0.1,200144,0,0,0,"int12_3","int12_3",1,0.976478830999539
45,100,"small",0.1,200145,2,0,2,"int12_3","int12_3",1,0.999277645692601
46,100,"small",0.1,200146,0,0,0,"int12_3","int12_3",1,0.984153628446396
47,100,"small",0.1,200147,3,0,3,"int12_3","int12_3",1,0.99976723840836
48,100,"small",0.1,200148,1,0,1,"int12_3","int12_3",1,0.922122819396202
49,100,"small",0.1,200149,1,1,2,"int12_3","int12_3",1,0.99979814557527
50,100,"small",0.1,200150,1,0,1,"int12_3","int12_3",1,0.971000733944038
