"model","log_marginal","post_prob"
"int12_3",402.399132372754,0.999853652871545
"int12",393.569749564483,0.000146347128453455
"int123_4",368.188250513636,1.38783943971497e-15
"int124_3",365.377768582137,8.35146048911186e-17
"int12_4",356.715088199939,1.44413615938447e-20
"full",318.253054010479,2.85600478719953e-37
"int23_1",282.241311579908,6.54723470460855e-53
"int13_2",278.742455841853,1.97935717507253e-54
"main",278.704972555861,1.90653764732549e-54
"int34",274.255366313145,2.22743965752206e-56
"int14",273.019526372664,6.47272984312951e-57
"int23",272.886217024966,5.66489633458717e-57
"int13",269.391360513773,1.7194718450428e-58
"int24",269.379115550961,1.69854535973517e-58
"int134_2",263.081409138836,3.12620897658748e-61
"int234_1",249.437449274672,3.71126123614093e-67
"int14_2",246.633854176661,2.24872135871051e-68
"int24_1",244.271676025501,2.11862800451364e-69
"int14_3",146.466857238052,7.0788320031683e-112
"int34_1",145.998751051813,4.43267277152437e-112
"x1",141.760985525701,6.40070023711431e-114
"int13_4",137.092757976977,6.00955098050977e-116
"int34_2",117.609205037476,2.07607239728133e-124
"int23_4",115.814836949065,3.45110628764723e-125
"x2",114.177076630829,6.70946769334651e-126
"int24_3",112.779461103163,1.65848426159936e-126
"x3",93.3554004342906,6.08063576968977e-135
"null",78.8308906263479,2.99250254202824e-141
"x4",69.892358929256,3.92716850020706e-145
