"id","alpha_true"
1,0.0249174400050453
2,0.338076699550614
3,-0.0468836151579905
4,-0.411444871096099
5,-0.0563523446193299
6,0.806113645609833
7,0.0302621098243749
8,-0.184409384358149
9,0.339797365070816
10,-0.589903869771113
11,0.175189642993949
12,-0.156888714797387
13,-0.569896213835442
14,-0.693280206754871
15,-0.0278134500184004
16,-0.0237940156313016
17,0.277317864828326
18,-0.636469740444747
19,0.416928326283614
20,-0.593695134438659
21,0.497744159533199
22,0.494393929281797
23,0.444262752675442
24,-0.0476656150216086
25,-0.415415043448112
26,0.148965157628057
27,-0.138243102717483
28,0.584633589862919
29,-0.295591464277909
30,0.388891305014193
31,0.205440229915547
32,-0.326034656245195
33,0.284517128604571
34,0.742910102409056
35,-0.375194801147333
36,0.0782273792219617
37,-0.111815661624285
38,0.0832800508805659
39,-0.518015958817584
40,0.082773037937069
41,0.550436530914627
42,-0.106586785483222
43,0.110431349085139
44,-0.0503922436263198
45,0.317904786701581
46,-0.131452373661573
47,-0.22363391620341
48,-0.406957899775549
49,-0.197462112201424
50,0.751677917728536
