"model","log_marginal","post_prob"
"int12_3",32.8588416788062,0.99940085912573
"int12_4",24.7103174770109,0.000288988540691021
"int12",24.6344660203103,0.000267879051705325
"x1",22.6080426921956,3.53080947584962e-05
"int23_1",20.2257842525058,3.26041279381797e-06
"main",19.8609757359947,2.26380108097773e-06
"int13_2",19.3685016183595,1.38343726916292e-06
"int14_2",15.758760450381,3.74342210758867e-08
"int24_1",14.7690066314417,1.39131087206601e-08
"int14",12.9261258539693,2.20328778315543e-09
"int23",12.5619215864236,1.5307325690771e-09
"int13",12.0183688647422,8.88868211892005e-10
"int34",11.8252871992937,7.32795971534917e-10
"int24",11.7035464857249,6.48801362231804e-10
"null",10.4069659138728,1.77424653339086e-10
"x3",7.00659261244645,5.91903085836888e-12
"int34_1",4.1047659013683,3.25089749671499e-13
"int14_3",3.42484800511616,1.6470951394072e-13
"int13_4",3.33309979123514,1.50270227038779e-13
"x4",2.73101336680989,8.22981610106289e-14
"x2",2.54220324114381,6.81382436858319e-14
"int123_4",1.19296560201138,1.76776476641113e-14
"int124_3",-0.397579255531568,3.6029614782851e-15
"int134_2",-10.5620028120314,1.38773504711629e-19
"int234_1",-11.6311105150052,4.76429868427264e-20
"int23_4",-13.8854821811164,4.99962931417879e-21
"int34_2",-15.4584196973351,1.03709782177e-21
"int24_3",-15.7353159200289,7.86258259266691e-22
"full",-53.719786597454,2.50679723679167e-38
