"rep","n","tau_label","tau_sd","seed","n_y0","n_y1","n_y01","true_model","chosen_model","correct","chosen_post_prob"
1,100,"big",0.7071068,200301,4,0,4,"int12_3","int12_3",1,0.992265560893485
2,100,"big",0.7071068,200302,1,3,4,"int12_3","int12_3",1,0.923301196498461
3,100,"big",0.7071068,200303,1,1,2,"int12_3","int12_3",1,0.998567823572299
4,100,"big",0.7071068,200304,2,0,2,"int12_3","int12_3",1,0.983653813021396
5,100,"big",0.7071068,200305,2,0,2,"int12_3","int12_3",1,0.996054719431602
6,100,"big",0.7071068,200306,2,0,2,"int12_3","int12_3",1,0.994449583953565
7,100,"big",0.7071068,200307,1,0,1,"int12_3","int12_3",1,0.99973483183986
8,100,"big",0.7071068,200308,3,0,3,"int12_3","null",0,0.992770264274505
9,100,"big",0.7071068,200309,7,2,9,"int12_3","int12_3",1,0.994055285553174
10,100,"big",0.7071068,200310,4,1,5,"int12_3","int12_3",1,0.997763314878724
11,100,"big",0.7071068,200311,1,0,1,"int12_3","int12_3",1,0.999376653805498
12,100,"big",0.7071068,200312,1,0,1,"int12_3","int12_3",1,0.999509400396472
13,100,"big",0.7071068,200313,6,0,6,"int12_3","int12_3",1,0.971812351724869
14,100,"big",0.7071068,200314,3,0,3,"int12_3","int12_3",1,0.999734690091777
15,100,"big",0.7071068,200315,4,1,5,"int12_3","int12_3",1,0.990615255550696
16,100,"big",0.7071068,200316,1,0,1,"int12_3","int12_3",1,0.999378600023687
17,100,"big",0.7071068,200317,1,2,3,"int12_3","int12_3",1,0.785648342438715
18,100,"big",0.7071068,200318,2,2,4,"int12_3","int12_3",1,0.96448864250344
19,100,"big",0.7071068,200319,1,1,2,"int12_3","int12_3",1,0.996418708866572
20,100,"big",0.7071068,200320,1,0,1,"int12_3","null",0,0.880485281866284
21,100,"big",0.7071068,200321,2,0,2,"int12_3","int12_3",1,0.652124147342107
22,100,"big",0.7071068,200322,1,2,3,"int12_3","int12_3",1,0.837321353974131
23,100,"big",0.7071068,200323,3,0,3,"int12_3","int12_4",0,0.835035655865679
24,100,"big",0.7071068,200324,2,0,2,"int12_3","int12_3",1,0.998615708332537
25,100,"big",0.7071068,200325,1,2,3,"int12_3","int12_3",1,0.997758799172901
26,100,"big",0.7071068,200326,2,2,4,"int12_3","int12_3",1,0.990677977314222
27,100,"big",0.7071068,200327,2,0,2,"int12_3","int12_3",1,0.998949230776684
28,100,"big",0.7071068,200328,2,1,3,"int12_3","int12_3",1,0.99940085912573
29,100,"big",0.7071068,200329,2,0,2,"int12_3","int12_3",1,0.999837267800527
30,100,"big",0.7071068,200330,0,1,1,"int12_3","int12_3",1,0.999823732295295
31,100,"big",0.7071068,200331,3,0,3,"int12_3","int12_3",1,0.999859134655369
32,100,"big",0.7071068,200332,4,0,4,"int12_3","int12_3",1,0.998561191765236
33,100,"big",0.7071068,200333,5,0,5,"int12_3","int12_3",1,0.99649536600425
34,100,"big",0.7071068,200334,1,0,1,"int12_3","int12_3",1,0.998752978343163
35,100,"big",0.7071068,200335,2,0,2,"int12_3","int12_3",1,0.999752361577853
36,100,"big",0.7071068,200336,3,2,5,"int12_3","int12_4",0,0.594669983578498
37,100,"big",0.7071068,200337,2,1,3,"int12_3","int12_3",1,0.989341025930564
38,100,"big",0.7071068,200338,5,2,7,"int12_3","int12_3",1,0.90949885555208
39,100,"big",0.7071068,200339,2,0,2,"int12_3","null",0,0.771725426327782
40,100,"big",0.7071068,200340,2,0,2,"int12_3","int12_3",1,0.876473501106864
41,100,"big",0.7071068,200341,3,1,4,"int12_3","int12_3",1,0.999795789297993
42,100,"big",0.7071068,200342,2,1,3,"int12_3","int12_3",1,0.999563610355411
43,100,"big",0.7071068,200343,1,0,1,"int12_3","int12_3",1,0.993460560782149
44,100,"big",0.7071068,200344,1,3,4,"int12_3","int12_3",1,0.983496325197636
45,100,"big",0.7071068,200345,1,0,1,"int12_3","int12_3",1,0.889999741105322
46,100,"big",0.7071068,200346,3,0,3,"int12_3","int12_3",1,0.93514042695295
47,100,"big",0.7071068,200347,4,1,5,"int12_3","int12_4",0,0.549030840710121
48,100,"big",0.7071068,200348,3,0,3,"int12_3","int12_3",1,0.999865543757916
49,100,"big",0.7071068,200349,0,1,1,"int12_3","int12_3",1,0.999761924902807
50,100,"big",0.7071068,200350,0,4,4,"int12_3","int12_3",1,0.999423394327402
