"model","log_marginal","post_prob"
"null",-17.642172917067,0.999988529938848
"x2",-29.535053982202,6.83883928939857e-06
"x1",-30.1510509181057,3.693672005912e-06
"x3",-31.651469622274,8.23824615190902e-07
"x4",-33.6316419059796,1.13725241603418e-07
"int12_3",-56.1458912278733,1.89689208086691e-17
"int12_4",-58.9200246030104,1.18372768925052e-18
"int23_1",-65.1193085283862,2.40401407487417e-21
"main",-66.712708607052,4.88576016642094e-22
"int13_2",-66.7661526939622,4.63150004230849e-22
"int14_2",-67.2280241646451,2.91832356012653e-22
"int24_1",-68.6189515807396,7.26208519880175e-23
"int12",-71.8490155937656,2.87251538024143e-24
"int23_4",-73.392778581087,6.13500069044112e-25
"int14_3",-74.1071041587896,3.00321869843624e-25
"int34_1",-74.4167170939838,2.20355436654098e-25
"int34_2",-74.4892255724383,2.04943306112482e-25
"int24_3",-75.2288071217202,9.78222284577089e-26
"int13_4",-75.4305229953436,7.99527601739441e-26
"int14",-80.6522557735899,4.31582403934992e-28
"int23",-80.7864058728806,3.77401030660577e-28
"int34",-81.4348378434181,1.97329790664942e-28
"int24",-81.9242100322955,1.20965357683165e-28
"int13",-82.3598792916977,7.82442187626776e-29
"int123_4",-114.697602082723,7.06899530457186e-43
"int124_3",-118.408552079223,1.72867195813509e-44
"int134_2",-124.473379130499,4.01598114400628e-47
"int234_1",-124.518652923227,3.83821684102758e-47
"full",-213.609979014042,7.80293878766757e-86
