"model","log_marginal","post_prob"
"int12_3",8.48769673202322,0.558783034020136
"x1",8.12099264704046,0.38724485006979
"int12_4",6.14224316218847,0.053533503718947
"int13_2",0.338045840034543,0.000161396755348152
"int12",-0.0524755223726814,0.000109217825815279
"int23_1",-0.457459726083972,7.28469078528706e-05
"main",-0.486721415657687,7.07461697161542e-05
"int14_2",-2.20137626707359,1.27361390301483e-05
"int24_1",-2.3427370579779,1.10572105592369e-05
"x3",-5.867411144678,3.25760987969671e-07
"null",-6.87176161101624,1.19320539416785e-07
"int34",-7.21503986859894,8.46508561740676e-08
"int13",-8.14928913722338,3.32576878592032e-08
"int14",-8.61177208529731,2.09429695165723e-08
"int23",-9.04846124900669,1.3532765817643e-08
"int24",-9.06038886768548,1.33723109717055e-08
"int34_1",-12.9391145767639,2.76501374945536e-10
"int14_3",-14.8376074433435,4.14183047588782e-11
"int13_4",-15.2948532921208,2.62188096373388e-11
"x2",-19.1940307744521,5.31155528076598e-13
"x4",-22.9964745347497,1.18533569528668e-14
"int34_2",-24.3864579185748,2.95242755158827e-15
"int124_3",-24.9271404950526,1.71934800881844e-15
"int123_4",-25.5792789185565,8.95661014895799e-16
"int24_3",-27.2197613726692,1.73656560012639e-16
"int23_4",-27.9464811571574,8.39616184492691e-17
"int134_2",-29.045112340526,2.79866773448733e-17
"int234_1",-31.8875847643709,1.63110249582595e-18
"full",-80.1627482365603,1.76540415057878e-39
