"model","log_marginal","post_prob"
"int12_3",26.4125396523261,0.996866459065738
"int12_4",20.6017140036071,0.00298557145134627
"int12",17.5971728331571,0.000147969367803499
"int13_2",2.97699892346439,6.61775926681518e-11
"main",1.81980124446496,2.08039786010705e-11
"int23_1",1.72355983407656,1.88951039251206e-11
"x1",0.478890075338853,5.44247041498103e-12
"int24_1",0.0317414352710692,3.48018146701055e-12
"int24",-2.95532342417455,1.75523837107326e-13
"int124_3",-4.12605551003638,5.44369293445587e-14
"null",-4.33635674465837,4.41124271337461e-14
"int13",-5.65400290737881,1.18117568001579e-14
"int34",-5.76536310604184,1.05669919514347e-14
"int14",-5.78423044479093,1.03694899620009e-14
"int23",-6.94614777911328,3.24446511414978e-15
"int123_4",-7.08776161914122,2.81605413641271e-15
"x3",-20.0703999491425,6.47668555220793e-21
"x2",-20.4684337448093,4.34999673700101e-21
"x4",-20.4823461862155,4.28989670078696e-21
"int234_1",-27.4894136540906,3.88432982097866e-24
"int134_2",-28.5545123603607,1.33890452160028e-24
"int14_2",-39.315418597482,2.84019009918368e-29
"int13_4",-45.1882133118639,7.99512156153791e-32
"int34_1",-46.2350552250344,2.80664448877992e-32
"int14_3",-47.0064284756999,1.29772974397318e-32
"full",-58.1031918157,1.96752914024873e-37
"int24_3",-66.7311996219205,3.52228905423416e-41
"int34_2",-67.1093156525945,2.41329985906779e-41
"int23_4",-68.1857889939049,8.22441195090585e-42
