"model","log_marginal","post_prob"
"null",-8.49554837856657,0.999998476035703
"x1",-22.8401356873834,5.89147751810708e-07
"x4",-23.1695760917009,4.23789385643372e-07
"x3",-23.5459754412977,2.90858603439138e-07
"x2",-23.8244192753266,2.20168555908787e-07
"int12_3",-45.3201077634655,1.01694250245291e-16
"int12_4",-52.1861021962513,1.06031011349401e-19
"int13_2",-60.1319565638603,3.75484659030979e-23
"int12",-61.0986456222889,1.42811925334348e-23
"main",-61.650784682717,8.22192530565219e-24
"int23_1",-62.2888943798323,4.34356181673276e-24
"int14_2",-62.380169204459,3.96465913136067e-24
"int24_1",-62.4182074778294,3.81668257188207e-24
"int34_1",-67.7662321560994,1.8158017693007e-26
"int13_4",-67.7945704494078,1.76506730541631e-26
"int14_3",-68.0537106590167,1.36212858663603e-26
"int23_4",-68.2762526435854,1.09035859552928e-26
"int34_2",-68.465093208223,9.02728048138362e-27
"int24_3",-68.9817712347022,5.38476209665431e-27
"int13",-74.64677818065,1.86588667818847e-29
"int34",-76.5355926535442,2.8221725351513e-30
"int23",-76.9217799773857,1.91807037381485e-30
"int14",-77.2473695591708,1.38504147529411e-30
"int24",-77.2509563052176,1.38008258172014e-30
"int123_4",-103.328040737264,6.52786555999834e-42
"int124_3",-106.974217129756,1.70316574727476e-43
"int134_2",-119.372446516201,7.02707043125677e-49
"int234_1",-121.99735977891,5.09083429305591e-50
"full",-209.157080203576,7.14172850438026e-88
