"model","log_marginal","post_prob"
"null",-2.31257751966716,0.994051523382011
"x1",-7.54014869315471,0.00533462112954421
"x2",-9.704771126605,0.00061237859574619
"x4",-15.8829234384263,1.27023052522611e-06
"x3",-17.6988190504262,2.06656514940073e-07
"int12_3",-28.552570029001,3.99507505914801e-12
"int12_4",-29.4340144394913,1.65469707665753e-12
"int23_1",-35.2181324950106,5.08988471140206e-15
"int13_2",-36.4550057041304,1.47754506572086e-15
"main",-36.6185154939926,1.25466948747378e-15
"int24_1",-38.2397638833226,2.47987680854346e-16
"int14_2",-38.6814141782996,1.59449742093626e-16
"int12",-41.7955067616664,7.08256544182687e-18
"int13_4",-45.3196834436218,2.08766163284182e-19
"int14_3",-46.5850478127334,5.89005495319435e-20
"int34_1",-48.0802771402167,1.32053373563491e-20
"int23",-48.4358955749202,9.25350740285565e-21
"int13",-48.9516707280123,5.52469203317924e-21
"int24",-52.2635215813209,2.01367567270259e-22
"int14",-52.4031895317245,1.75118691386469e-22
"int34",-52.4342811476881,1.69757740456804e-22
"int23_4",-53.8134917857138,4.27411316265269e-23
"int24_3",-55.2312181725122,1.0354646329813e-23
"int34_2",-55.8167625414053,5.76549475691053e-24
"int124_3",-86.8469804254724,1.92568027648497e-37
"int123_4",-87.5921892008804,9.13995638232263e-38
"int234_1",-93.0670532766301,3.83037122283674e-40
"int134_2",-95.7050209545788,2.73896233430545e-41
"full",-190.691692328763,1.53249415859135e-82
