"model","log_marginal","post_prob"
"null",-5.25871145460864,0.999923990560926
"x3",-14.7955327830018,7.21403276438709e-05
"x2",-17.8338618614041,3.45659547827463e-06
"x1",-20.2931252749196,2.95531669681788e-07
"x4",-21.2198616931453,1.16984282256088e-07
"int12_3",-44.5614576678444,8.53102440212959e-18
"int12_4",-50.3921940018396,2.50463571378234e-20
"main",-54.238321935941,5.35047612464445e-22
"int23_1",-54.8031357447712,3.04156365500263e-22
"int13_2",-54.8607830568981,2.871183836339e-22
"int24_3",-57.52499237824,1.99990604689446e-23
"int23_4",-57.638719734821,1.78491866135091e-23
"int34_2",-57.7403621280434,1.6124108044698e-23
"int24_1",-59.0356082974013,4.41527171929595e-24
"int12",-59.7416433273603,2.17936673654433e-24
"int14_2",-60.0491683921536,1.60241085888428e-24
"int14_3",-61.309851366534,4.54219965669367e-25
"int34_1",-61.6365282166049,3.27636491606311e-25
"int13_4",-61.6886386274438,3.11000439597837e-25
"int24",-69.1758982517757,1.74214967194121e-28
"int14",-69.3227122592553,1.50426707595236e-28
"int34",-69.7770237313653,9.55036532552533e-29
"int13",-69.965812922283,7.90733031183153e-29
"int23",-69.983982051587,7.76495830920852e-29
"int124_3",-105.236774473423,3.80229586995673e-44
"int123_4",-106.697703207849,8.8221130765409e-45
"int234_1",-113.152408045808,1.38780972533288e-47
"int134_2",-115.438178312227,1.41134280302129e-48
"full",-204.063687826262,4.5715426425949e-87
