"model","log_marginal","post_prob"
"int12_3",-4.53628817707679,0.763938895385564
"int12_4",-5.7248028929956,0.232751902513293
"x1",-10.3310115867117,0.0023251031333165
"null",-11.5212149214301,0.000707202000962683
"int12",-12.458891298868,0.000276895440358519
"x2",-24.7742280193712,1.24117501264143e-09
"x4",-26.6386300429102,1.9236830259253e-10
"x3",-27.366199689024,9.29295919950823e-11
"int123_4",-35.8208467486974,1.97855198691142e-14
"int124_3",-36.2419668429233,1.29854598209307e-14
"int23_1",-42.2195528667101,3.29173380507475e-17
"int13_2",-42.7964733970905,1.84872070302844e-17
"int13_4",-46.7532553034849,3.53559699968432e-19
"main",-54.2667480951453,1.92927571431304e-22
"int14_2",-55.2659584461353,7.10301539159911e-23
"int24_1",-55.2665940546907,7.09850208874532e-23
"int23_4",-57.0265187012928,1.22135285482616e-23
"int13",-57.0848824234544,1.15211043294355e-23
"int23",-57.117377896596,1.11527381244946e-23
"int34_1",-57.1764258011675,1.05132580794103e-23
"int14_3",-57.1989890485375,1.02787009727141e-23
"int14",-69.9504594966766,2.97882493116257e-29
"int24",-69.9877243649847,2.86986226130569e-29
"int34",-70.0730935238791,2.63503081691551e-29
"int24_3",-70.6672532452151,1.45460611962368e-29
"int34_2",-71.1899248053543,8.62485963573977e-30
"full",-87.8631103813556,4.95084744840333e-37
"int134_2",-101.666451469133,5.01146473083572e-43
"int234_1",-102.414260560375,2.37244042980738e-43
