"model","log_marginal","post_prob"
"x1",-0.93353439005949,0.676105938323793
"null",-1.6774528782981,0.321318000662311
"int12_3",-7.14556994904924,0.00135569497330211
"int12_4",-7.65813208359341,0.000812005702328969
"x4",-8.76754917926496,0.000267759788505835
"x3",-9.89437482727556,8.67703192466882e-05
"x2",-10.3922015167486,5.27433622098778e-05
"int12",-14.9705729529024,5.41759281322273e-07
"int24_1",-15.0957168726759,4.78032084493057e-07
"int13_2",-17.3537374565214,4.99817165104592e-08
"int14_2",-18.9772117567011,9.8570109008702e-09
"main",-19.967997647706,3.65975819239532e-09
"int23_1",-20.1525552414717,3.04298665007977e-09
"int24",-22.5401022684413,2.7951270167163e-10
"int13_4",-23.1255951915431,1.556414263861e-10
"int34_1",-24.1181532102463,5.76849780590379e-11
"int14_3",-25.4497795164618,1.52315736585783e-11
"int13",-25.5263779521914,1.41084238064823e-11
"int14",-26.0422598058316,8.42236104789665e-12
"int34",-26.8790198480882,3.64782155867626e-12
"int23",-28.3226800946731,8.61112526404548e-13
"int24_3",-29.3483227477933,3.08765637815957e-13
"int34_2",-31.3552125619863,4.14999707021114e-14
"int23_4",-33.7230967384917,3.88766431741641e-15
"int123_4",-37.9914242742131,5.4447464792946e-17
"int124_3",-38.8214188537947,2.3741906855701e-17
"int234_1",-44.7325574386547,6.43192138657186e-20
"int134_2",-45.2205885570412,3.94813056096842e-20
"full",-89.1971745174884,3.14487139560919e-39
