"model","log_marginal","post_prob"
"null",-6.18588114692161,0.991848049740389
"x3",-11.7441267461006,0.003824104494213
"x1",-12.0314201970697,0.00286919318413496
"x2",-12.970605024489,0.00112170072983537
"x4",-14.1761202080626,0.000335991592634313
"int12_3",-20.8700983930498,4.1607404271682e-07
"int13_2",-21.3514309382519,2.57116859178086e-07
"main",-21.8344230275939,1.58624313336836e-07
"int23_1",-22.0582459865058,1.26813263499963e-07
"int12_4",-27.5528647251554,5.21053216014683e-10
"int24_1",-28.118097195792,2.96077045102444e-10
"int34",-28.3512235769767,2.34508849937238e-10
"int14_2",-28.3843903704199,2.26858513210844e-10
"int12",-29.0889259155979,1.12144810624559e-10
"int13",-29.5215050161324,7.27633131273072e-11
"int24",-29.6566207817522,6.35671051551734e-11
"int14",-30.1725678633924,3.79454286863292e-11
"int23",-30.247012671474,3.52231744939491e-11
"int34_2",-31.1312981162682,1.45474946165309e-11
"int34_1",-31.9124658470975,6.66087632787185e-12
"int24_3",-32.8772893754834,2.53812984481198e-12
"int13_4",-32.8932483528454,2.49794539233504e-12
"int14_3",-32.9890207139799,2.26981014124072e-12
"int23_4",-33.302606931636,1.6588257493032e-12
"int234_1",-51.0448211876883,3.26930184814963e-20
"int134_2",-51.2481000367071,2.66791591382843e-20
"int124_3",-52.3385255478826,8.96615732855241e-21
"int123_4",-52.6014912166219,6.89289743413868e-21
"full",-102.200441467898,1.98541552689141e-42
