"model","log_marginal","post_prob"
"int12_3",34.6806946732711,0.996071746346731
"int12_4",29.0981625894522,0.00374824303299587
"int12",26.0234772732749,0.000173184442546746
"x2",21.8843227407266,2.7599226001518e-06
"int23_1",21.6195743182043,2.11796180477931e-06
"main",20.7190107557898,8.6061386399332e-07
"int13_2",20.2419735351567,5.34113684874296e-07
"null",19.5981708719509,2.80565173654624e-07
"x3",18.5322704152289,9.66315786944823e-08
"int14_2",18.4349722531137,8.76724251331383e-08
"x1",18.2664898998823,7.40784801690107e-08
"int24_1",16.3403759621666,1.07942235691352e-08
"int14",14.8145590354714,2.34713212285123e-09
"int23",13.3592292525685,5.47640859222165e-10
"x4",12.9171721244317,3.51975854326476e-10
"int34",12.6593106430969,2.7197253753316e-10
"int24",12.2370868541222,1.78301744211048e-10
"int13",11.8958948495674,1.26758702984985e-10
"int23_4",4.31126617018725,6.441921140202e-14
"int14_3",2.78086364892075,1.39434432667308e-14
"int34_2",2.64287481280353,1.21462507866441e-14
"int24_3",2.42275927927846,9.74646847213836e-15
"int123_4",1.64458656719844,4.47601122976591e-15
"int124_3",0.880176860796453,2.08406975064174e-15
"int34_1",0.522660442837029,1.45762175840741e-15
"int13_4",0.391447997707321,1.27838010033731e-15
"int134_2",-9.76123621493585,4.98201776248943e-20
"int234_1",-11.0152482680925,1.42165676725868e-20
"full",-54.5788133168347,1.71150764728423e-39
