"model","log_marginal","post_prob"
"null",0.0544339704069898,0.987528378333063
"x1",-4.31799088108798,0.0124632009995958
"x3",-12.3036570099124,4.24129875540549e-06
"x2",-12.4139968193873,3.79820931625398e-06
"int12_3",-15.197276343177,2.3486373109973e-07
"x4",-15.6715754075277,1.46160657995476e-07
"int23_1",-23.6338137265872,5.09183502277804e-11
"int14_2",-23.922896721929,3.81353006159201e-11
"main",-24.4835369305203,2.17692880169887e-11
"int12_4",-25.0558748126255,1.22823379060684e-11
"int13_2",-25.1098498596542,1.16369716485106e-11
"int24_1",-29.9301852513624,9.38414942946073e-14
"int12",-30.7194840102372,4.26193497315336e-14
"int14",-33.6714919106034,2.22620973465071e-15
"int24",-36.7077743238581,1.06887121092862e-16
"int23",-38.8611362538413,1.24088683261285e-17
"int13",-40.2053012593505,3.2357035955607e-18
"int34",-40.4512509620857,2.53019581336856e-18
"int14_3",-44.158864036062,6.20809327877925e-20
"int34_1",-47.1135902785558,3.23397703121098e-21
"int13_4",-47.3469073178917,2.56099439728473e-21
"int24_3",-50.688845379261,9.05781339800709e-23
"int34_2",-53.1597231252399,7.65481675705817e-24
"int23_4",-54.240826008254,2.59667611053791e-24
"int124_3",-74.2785371074326,5.15407129921006e-33
"int123_4",-77.2758462953846,2.57297508740578e-34
"int134_2",-81.4011418721672,4.15759781905693e-36
"int234_1",-84.0621520816424,2.90522936856297e-37
"full",-182.351682122217,5.9783302217059e-80
