"model","log_marginal","post_prob"
"int12_3",2.66397350188433,0.612548604703029
"int12_4",2.19729423168155,0.384117702936662
"null",-2.55268930301771,0.00332332400700956
"x2",-8.34559998442491,1.01331283058147e-05
"x1",-12.5178022255512,1.56235287536435e-07
"int12",-13.2249292248526,7.70331712941023e-08
"x4",-17.1515363351675,1.51835728182381e-09
"x3",-18.3943326325758,4.38161689503717e-10
"int14_2",-29.3730182612957,7.47569914970628e-15
"int24_1",-29.5706450238836,6.13512764543494e-15
"main",-31.2220148680415,1.17663778881262e-15
"int13_2",-32.1014201436586,4.88339589154093e-16
"int23_1",-32.1989840243425,4.42945688218767e-16
"int24",-45.1074182533403,1.09720738689592e-21
"int14",-45.2030162487559,9.97174217201808e-22
"int34",-46.8140907831228,1.99108710952009e-22
"int13",-47.0794534829358,1.52701992704921e-22
"int23",-47.1524064796339,1.41958571529871e-22
"int24_3",-49.534662338305,1.31087429266096e-23
"int124_3",-53.7657663830326,1.90553051398368e-25
"int34_2",-54.436737667794,9.74129692270856e-26
"int23_4",-54.6663830840554,7.74253262654395e-26
"int14_3",-55.4842387611802,3.41737656236942e-26
"int34_1",-57.8255211878288,3.28765924551684e-27
"int13_4",-58.8108685908856,1.22731448020464e-27
"int123_4",-60.1586973047732,3.18860912926232e-28
"int234_1",-91.641786197687,6.77126024554668e-42
"int134_2",-92.1806134956179,3.95057020090044e-42
"full",-160.353792133059,9.75943076565519e-72
