"model","log_marginal","post_prob"
"null",-6.18784277738411,0.999985882451688
"x3",-18.2023034416938,6.05591679035343e-06
"x2",-18.5188715385949,4.41261585985443e-06
"x1",-18.782012209164,3.39168554431501e-06
"x4",-22.0015122531136,1.35582762005073e-07
"int12_3",-22.1091517230948,1.21746714209686e-07
"int12_4",-34.28709351771,6.26100897944194e-13
"int12",-38.0330758017229,1.478375958491e-14
"int13_2",-44.3716932569907,2.61191059859498e-17
"int23_1",-45.5250453158199,8.24259332083844e-18
"main",-46.555100605808,2.94250049336524e-18
"int24_1",-53.2936108164041,3.48512808305448e-21
"int14_2",-53.6265572106775,2.49816984536895e-21
"int34_2",-59.9245946521004,4.59641310477571e-24
"int13",-60.2996423454788,3.15891478489552e-24
"int23_4",-60.3617815768341,2.96859659665223e-24
"int24_3",-60.9389620206806,1.6668054176863e-24
"int34_1",-61.1644056759134,1.33038079818707e-24
"int34",-61.2108356751141,1.27002326154404e-24
"int23",-61.4548193817393,9.95063733460219e-25
"int14_3",-61.8422437414603,6.75452224732926e-25
"int24",-61.9033294612802,6.35426679392003e-25
"int14",-62.0841684541606,5.30307865611992e-25
"int13_4",-62.110439011085,5.16557784567832e-25
"int123_4",-83.2151361116579,3.52748696637355e-34
"int124_3",-84.2034126206279,1.3129929171524e-34
"int134_2",-104.390101715641,2.24540508313485e-43
"int234_1",-106.871984812654,1.87683704821487e-44
"full",-186.798694091586,3.64500200190401e-79
