"rep","n","tau_label","tau_sd","tau_var","seed","n_y0","n_y1","n_y01","best_model","best_formula","log_marginal","tau_map","correct","chosen_post_prob","error"
1,100,"small",0.1,0.01,200101,0,0,0,"x1","~x1",-1.86471638842983,NA,0,0.995836475042426,NA
2,100,"small",0.1,0.01,200102,2,0,2,"null","~1",-10.4949957315702,NA,0,0.994550343612184,NA
3,100,"small",0.1,0.01,200103,0,0,0,"null","~1",-6.18784277738411,NA,0,0.999985882451688,NA
4,100,"small",0.1,0.01,200104,2,0,2,"null","~1",-10.1125677992996,NA,0,0.50302101460479,NA
5,100,"small",0.1,0.01,200105,1,0,1,"x1","~x1",-12.7222817311006,NA,0,0.524859496193596,NA
6,100,"small",0.1,0.01,200106,0,0,0,"int12_3","~x1 * x2 + x3",-9.25146345157364,NA,1,0.893658908541131,NA
7,100,"small",0.1,0.01,200107,1,0,1,"int12_3","~x1 * x2 + x3",-6.44378540810331,NA,1,0.612978292073698,NA
8,100,"small",0.1,0.01,200108,2,0,2,"x1","~x1",-1.23817641917276,NA,0,0.971976293210079,NA
9,100,"small",0.1,0.01,200109,2,0,2,"int12_3","~x1 * x2 + x3",-6.91451995252112,NA,1,0.936019520811,NA
10,100,"small",0.1,0.01,200110,2,0,2,"x1","~x1",3.23015961007486,NA,0,0.999685592741099,NA
11,100,"small",0.1,0.01,200111,0,0,0,"null","~1",-12.99175875527,NA,0,0.997079537410842,NA
12,100,"small",0.1,0.01,200112,0,0,0,"null","~1",-3.77656913338119,NA,0,0.999934532440041,NA
13,100,"small",0.1,0.01,200113,3,1,4,"int12_3","~x1 * x2 + x3",28.7869062378254,NA,1,0.782169728973463,NA
14,100,"small",0.1,0.01,200114,0,0,0,"null","~1",-4.28351438896448,NA,0,0.999864364590333,NA
15,100,"small",0.1,0.01,200115,4,1,5,"int12_3","~x1 * x2 + x3",19.9205997644263,NA,1,0.993858345872626,NA
16,100,"small",0.1,0.01,200116,1,1,2,"int12_3","~x1 * x2 + x3",0.671752896523458,NA,1,0.999993243579667,NA
17,100,"small",0.1,0.01,200117,2,0,2,"int12_3","~x1 * x2 + x3",16.5021227265699,NA,1,0.999999658015119,NA
18,100,"small",0.1,0.01,200118,1,0,1,"int12_3","~x1 * x2 + x3",-12.0992397262752,NA,1,0.540320820963988,NA
19,100,"small",0.1,0.01,200119,1,0,1,"null","~1",-10.2692085228149,NA,0,0.980848024197676,NA
20,100,"small",0.1,0.01,200120,0,0,0,"null","~1",-6.6318133292088,NA,0,0.924591612800677,NA
21,100,"small",0.1,0.01,200121,0,0,0,"null","~1",-10.7033481598708,NA,0,0.994462540697865,NA
22,100,"small",0.1,0.01,200122,1,0,1,"int12_3","~x1 * x2 + x3",-9.09001086076097,NA,1,0.847259915752695,NA
23,100,"small",0.1,0.01,200123,2,0,2,"int12_3","~x1 * x2 + x3",-1.05267241127092,NA,1,0.999278681492643,NA
24,100,"small",0.1,0.01,200124,1,1,2,"int12_3","~x1 * x2 + x3",3.70670546901354,NA,1,0.999996204011931,NA
25,100,"small",0.1,0.01,200125,2,1,3,"int14_2","~x1 * x4 + x2",11.3210960513568,NA,0,0.999784571558287,NA
26,100,"small",0.1,0.01,200126,1,2,3,"int12_3","~x1 * x2 + x3",11.7649216206523,NA,1,0.999938636401773,NA
27,100,"small",0.1,0.01,200127,0,0,0,"null","~1",-8.9745118855473,NA,0,0.899240848517713,NA
28,100,"small",0.1,0.01,200128,1,1,2,"int12_3","~x1 * x2 + x3",4.48539297961867,NA,1,0.999921754450145,NA
29,100,"small",0.1,0.01,200129,0,0,0,"null","~1",-8.423485881365,NA,0,0.970890599984213,NA
30,100,"small",0.1,0.01,200130,2,0,2,"int12_3","~x1 * x2 + x3",10.5034699415863,NA,1,0.999998192076254,NA
31,100,"small",0.1,0.01,200131,1,0,1,"int12_3","~x1 * x2 + x3",-8.27717836564926,NA,1,0.878200464480353,NA
32,100,"small",0.1,0.01,200132,1,0,1,"int12_3","~x1 * x2 + x3",9.31203836579604,NA,1,0.998583164557223,NA
33,100,"small",0.1,0.01,200133,0,0,0,"null","~1",-9.18831791614299,NA,0,0.97907829085543,NA
34,100,"small",0.1,0.01,200134,5,0,5,"int12_3","~x1 * x2 + x3",39.6889448607926,NA,1,0.999891676021602,NA
35,100,"small",0.1,0.01,200135,4,0,4,"int12_3","~x1 * x2 + x3",25.7510893332328,NA,1,0.999437017414646,NA
36,100,"small",0.1,0.01,200136,0,0,0,"null","~1",-13.0891884519579,NA,0,0.990779724441515,NA
37,100,"small",0.1,0.01,200137,2,0,2,"int12_3","~x1 * x2 + x3",-0.984159332630156,NA,1,0.999903352138236,NA
38,100,"small",0.1,0.01,200138,0,0,0,"null","~1",-7.84418727433008,NA,0,0.996483867073327,NA
39,100,"small",0.1,0.01,200139,1,0,1,"int12_3","~x1 * x2 + x3",-10.410527932862,NA,1,0.811777027439702,NA
40,100,"small",0.1,0.01,200140,0,0,0,"null","~1",-7.26203797416647,NA,0,0.999768898038871,NA
41,100,"small",0.1,0.01,200141,3,0,3,"int12_3","~x1 * x2 + x3",17.2924252654098,NA,1,0.998491644737089,NA
42,100,"small",0.1,0.01,200142,1,0,1,"int12_3","~x1 * x2 + x3",-6.166926136288,NA,1,0.958814414666652,NA
43,100,"small",0.1,0.01,200143,1,0,1,"null","~1",-11.3178788579293,NA,0,0.816115632269025,NA
44,100,"small",0.1,0.01,200144,0,0,0,"null","~1",-4.85100051104099,NA,0,0.963516907151309,NA
45,100,"small",0.1,0.01,200145,2,0,2,"int12_3","~x1 * x2 + x3",9.37959148720083,NA,1,0.999669095417767,NA
46,100,"small",0.1,0.01,200146,0,0,0,"null","~1",-9.21334286227224,NA,0,0.987039667515288,NA
47,100,"small",0.1,0.01,200147,3,0,3,"int12_3","~x1 * x2 + x3",30.4505337226147,NA,1,0.999999300067925,NA
48,100,"small",0.1,0.01,200148,1,0,1,"null","~1",-14.1317704930332,NA,0,0.984714776480484,NA
49,100,"small",0.1,0.01,200149,1,1,2,"int12_3","~x1 * x2 + x3",13.3397265454762,NA,1,0.999971885714409,NA
50,100,"small",0.1,0.01,200150,1,0,1,"int12_3","~x1 * x2 + x3",-7.22994788543321,NA,1,0.928667845247871,NA
