"model","log_marginal","post_prob"
"null",-9.21334286227224,0.987039667515288
"x1",-13.5468375821868,0.0129515504739435
"x3",-21.532515533451,4.40743477443872e-06
"x2",-21.642793307401,3.94723392898018e-06
"int12_3",-24.3057092945925,2.75298056968761e-07
"x4",-24.9004343429685,1.51885858202855e-07
"int23_1",-32.741774618268,5.97126750083692e-11
"int14_2",-33.0312582159533,4.47038984684714e-11
"main",-33.5914149295494,2.55312705838123e-11
"int12_4",-34.1643354597961,1.43964761961251e-11
"int13_2",-34.2182632435614,1.36406688108708e-11
"int24_1",-39.0385502139074,1.10004799087003e-13
"int12",-39.786320804054,5.20785628648032e-14
"int14",-42.7386863855191,2.71933624048009e-15
"int24",-45.7748551826855,1.30578464042192e-16
"int23",-47.9280247012709,1.51621893273919e-17
"int13",-49.2723336710492,3.95308313416466e-18
"int34",-49.5180814788135,3.09178318498316e-18
"int14_3",-53.2673139551872,7.27676006110763e-20
"int34_1",-56.2218620082533,3.79135227604308e-21
"int13_4",-56.4551911091457,3.00234501692677e-21
"int24_3",-59.797236208693,1.06176609504777e-22
"int34_2",-62.2681304018864,8.97290644400476e-24
"int23_4",-63.3492241061607,3.04382801154744e-24
"int124_3",-83.2197052951048,7.14134108396309e-33
"int123_4",-86.2169771362092,3.56517748303434e-34
"int134_2",-90.3423346476895,5.76051287761932e-36
"int234_1",-93.0032888243281,4.02553341820856e-37
"full",-190.988683935132,1.12281196663393e-79
