"model","log_marginal","post_prob"
"null",-0.0795249487443677,0.656212572341433
"x2",-1.46469177212527,0.164238223518365
"x1",-1.76798970504543,0.121270067752
"int12_3",-3.00436106833604,0.0352212171184678
"int12_4",-3.51027851526389,0.0212367084111354
"x4",-6.89913786852356,0.00071667835301971
"int23_1",-7.00950858956953,0.000641786964621184
"x3",-7.56797606983156,0.000367156775321638
"int13_2",-9.73421218203647,4.20791692192858e-05
"int12",-10.1868021582835,2.67614615062627e-05
"main",-10.7969177045786,1.45391833213051e-05
"int14_2",-11.5163254802469,7.08117268267699e-06
"int24_1",-11.9488797744748,4.5946162283056e-06
"int23",-14.2755404187275,4.48531928119825e-07
"int13",-16.2466987952976,6.24784371158649e-08
"int34",-18.4828420551025,6.67706307382557e-09
"int14",-18.7461578019131,5.13131768283337e-09
"int13_4",-18.8077781713856,4.8246689207711e-09
"int24",-19.3317720077995,2.85693187655371e-09
"int14_3",-20.1148394172631,1.30562371497017e-09
"int34_1",-20.1607577987865,1.24702721093556e-09
"int23_4",-22.7987052940248,8.91722837778073e-11
"int34_2",-24.9117025181597,1.07787116697937e-11
"int24_3",-25.0152915958595,9.7180401694785e-12
"int124_3",-32.1449105056708,7.78438916127416e-15
"int123_4",-33.0346629922167,3.19749551596404e-15
"int234_1",-35.0157737155978,4.40985681962282e-16
"int134_2",-38.972368386695,8.43523635723255e-18
"full",-81.2023221655345,3.85355319960823e-36
