"model","log_marginal","post_prob"
"int12_3",429.861066732186,0.9998644754826
"int12",420.954844272098,0.000135524517400143
"int123_4",393.233454882131,1.23814476766145e-16
"int124_3",392.656940866357,6.95656057098407e-17
"int12_4",387.045089318629,2.5421338318428e-19
"int23_1",354.442887944903,1.76295917715418e-33
"int13_2",353.28644287802,5.54631517003241e-34
"main",353.179808048091,4.98532673053131e-34
"int34",345.513139299392,2.3340045289444e-37
"int23",345.2037106767,1.71284691988376e-37
"int14",344.370382925729,7.44404358351751e-38
"int13",344.011153563553,5.19753685398624e-38
"int24",343.701137754153,3.81205731860269e-38
"full",332.645229634646,6.02059666082031e-43
"int234_1",320.08250519398,2.10725761121293e-48
"int134_2",318.699750961779,5.28682698758418e-49
"int14_2",311.60627720485,4.39074876766018e-52
"int24_1",311.291968400062,3.20653517632537e-52
"int13_4",253.995746386193,4.1937540222659e-77
"int14_3",253.132089499879,1.76815988802931e-77
"int34_1",252.818992621813,1.29284150947713e-77
"x1",248.601374031037,1.90483256376453e-79
"int23_4",212.191400004873,2.93228380024085e-95
"x2",209.70760996189,2.44629986414114e-96
"x3",207.753127286695,3.46488360770952e-97
"int34_2",207.724824766026,3.36819341019209e-97
"int24_3",207.501948395048,2.69527475637617e-97
"null",193.488955169426,2.21226633699351e-103
"x4",184.187309864269,2.01922252506701e-107
