"model","log_marginal","post_prob"
"int12_3",390.960401432672,0.999906532326751
"int12",381.682599981557,9.34676731506503e-05
"int123_4",360.997714308623,9.71247076669949e-14
"int124_3",356.646382947393,1.25190255426205e-15
"int12_4",352.032344892706,1.24084992584686e-17
"full",302.046565407389,2.42756604894884e-39
"int23_1",283.870146338598,3.09922104653373e-47
"int13_2",283.271445677007,1.70310003942756e-47
"main",282.35989552854,6.84477157794821e-48
"int24",277.294188225243,4.31867209778655e-50
"int23",274.350600365971,2.27492072115896e-51
"int13",273.759246910495,1.25934500497245e-51
"int34",273.671674302927,1.15375188531507e-51
"int14",273.072064157254,6.33439360771619e-52
"int24_1",261.627512832621,6.78265235712743e-57
"int14_2",257.304131586704,8.99039844702547e-59
"int234_1",254.182510783361,3.96347615959847e-60
"int134_2",247.70769360513,6.11081137545754e-63
"x1",210.170229159617,3.04638792353954e-79
"int34_1",198.075520101765,1.70262811711136e-84
"int14_3",197.846708858823,1.35440435274095e-84
"int13_4",197.487460500308,9.45646372816811e-85
"x2",172.071742309296,8.66607806968199e-96
"x3",168.90658458259,3.65773351830002e-97
"null",167.876277090423,1.30543485322604e-97
"int24_3",161.374433831664,1.95902759739697e-100
"x4",159.566484026218,3.21260943144214e-101
"int23_4",159.294416575172,2.44737510098365e-101
"int34_2",156.982425221599,2.42446238348246e-102
