"model","log_marginal","post_prob"
"int12_3",302.224321364992,0.999718704414861
"int12",294.048498162758,0.000281295585053116
"int124_3",272.110185087923,8.34592745289102e-14
"int123_4",268.556827630319,2.38930212424839e-15
"int12_4",253.318591877172,5.75956080628844e-22
"main",236.415666139985,2.62749556713582e-29
"int13_2",235.451922504079,1.00229011908409e-29
"int23_1",235.288278046789,8.50988251069891e-30
"int14",230.269912767284,5.62956988889572e-32
"int34",227.786562658251,4.6986161392643e-33
"int13",227.488868549203,3.48885610144345e-33
"int23",227.43005504779,3.28958170858097e-33
"int24",226.816110584816,1.7803606452478e-33
"full",211.210001845061,2.97071559441611e-40
"int134_2",203.69722420525,1.62219554088833e-43
"int234_1",201.583444111968,1.95929654568466e-44
"int14_2",195.44697821808,4.23708227065728e-47
"int24_1",191.950593140893,1.28412159951919e-48
"x1",57.4720020640646,5.07336504437086e-107
"int13_4",51.051019036948,8.25464907727529e-110
"int34_1",46.7537511869456,1.12310122434731e-111
"int14_3",46.6486872940861,1.01109097006947e-111
"x2",37.2930121487016,8.74323480221958e-116
"x3",32.3912660093648,6.4993637176233e-118
"int23_4",22.233883178809,2.52101556905912e-122
"null",20.3108134226229,3.68465596640648e-123
"int34_2",20.0534925259744,2.8486815240398e-123
"int24_3",19.8144656016057,2.24303383408591e-123
"x4",5.56618713118655,1.45508079351368e-129
