"id","alpha_true"
1,-0.268373078642085
2,-0.241798849202922
3,0.519814304891884
4,-0.141843208085102
5,-0.347669703819727
6,0.0540793726778656
7,0.0453987810799756
8,-0.268902362016884
9,-0.241228140109476
10,-0.114131320360434
11,-0.430034623905962
12,-0.00730264432721205
13,-0.297546674371365
14,-0.0592416928209474
15,0.533171585054519
16,0.759006607550913
17,0.140040606579428
18,0.111311071430241
19,0.401987067664251
20,-0.871057720364681
21,-0.208244669407169
22,-0.510791382242138
23,-0.10460760255883
24,0.529447932607181
25,-0.529334359241037
26,-0.421741948688942
27,0.136509258912893
28,0.197666230760702
29,-0.526224319180513
30,0.883531238485049
31,-0.866846908692731
32,0.73423725019283
33,-0.438469621208949
34,-0.389864189422836
35,0.429737300879058
36,0.29014048224798
37,0.53793089987864
38,0.0979168387668983
39,0.0654715861537344
40,0.765288329619917
41,-0.624417462328116
42,-0.785307785953553
43,0.561442090863633
44,-0.240418456204447
45,-0.406057747337772
46,0.544408198580081
47,0.214886271245586
48,-0.519546753756753
49,-0.139659584344469
50,0.266629833110608
