"model","log_marginal","post_prob"
"int12_3",342.969082414948,0.999932278949997
"int12",333.369036642536,6.77210500029288e-05
"int123_4",306.291062843072,1.17735946878828e-16
"int124_3",305.01249437227,3.2781879480607e-17
"int12_4",300.500540820963,3.59846530196586e-19
"int23_1",261.861952554476,5.9647417713146e-36
"main",260.311237744229,1.26509972583366e-36
"int13_2",260.05820081176,9.82273025976128e-37
"int23",253.714817582498,1.72717317809726e-39
"int14",252.200920395363,3.80065711519117e-40
"int24",252.153586233476,3.62494753444792e-40
"int13",251.777979156669,2.4898755719883e-40
"int34",251.763695963798,2.45456497332242e-40
"full",242.322938917823,1.94942190815922e-44
"int14_2",230.946661027837,2.23486415677912e-49
"int24_1",230.792645077057,1.91585595272706e-49
"int234_1",228.677097839821,2.30989565202888e-50
"int134_2",227.182124425862,5.18004648550395e-51
"x1",182.643296792162,2.35161696899078e-70
"int34_1",173.405419062355,2.28774314547656e-74
"int14_3",172.838089625855,1.29723667712553e-74
"int13_4",172.779183821793,1.22302899566235e-74
"x3",141.418403982604,2.93510147793788e-88
"x2",138.291606976097,1.28727826102279e-89
"null",135.765412842884,1.0293433493738e-90
"int23_4",132.661968313143,4.62116450320741e-92
"int24_3",132.590818904415,4.30379555933174e-92
"int34_2",130.734161171727,6.72226184433618e-93
"x4",127.074099620004,1.72970041527516e-94
