"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"int12_3",-5.29669200196497,0.761353756331399,1,50,"big",0.7071068,150301,"int12_3","int12_3",1
"int12_4",-6.45797792202164,0.238367163091755,1,50,"big",0.7071068,150301,"int12_3","int12_3",1
"int12",-13.2114230013263,0.000278139388822032,1,50,"big",0.7071068,150301,"int12_3","int12_3",1
"x1",-19.4614422118174,5.3692501890699e-07,1,50,"big",0.7071068,150301,"int12_3","int12_3",1
"int13",-20.2129522461487,2.5324272618291e-07,1,50,"big",0.7071068,150301,"int12_3","int12_3",1
"null",-20.7298890981364,1.51019892846738e-07,1,50,"big",0.7071068,150301,"int12_3","int12_3",1
"x2",-33.9046588071984,2.86618601617994e-13,1,50,"big",0.7071068,150301,"int12_3","int12_3",1
"x4",-35.7690610658472,4.44226804117401e-14,1,50,"big",0.7071068,150301,"int12_3","int12_3",1
"x3",-36.4966290873522,2.14598154531773e-14,1,50,"big",0.7071068,150301,"int12_3","int12_3",1
"int123_4",-36.572478924007,1.98922916205668e-14,1,50,"big",0.7071068,150301,"int12_3","int12_3",1
"int124_3",-36.995563244161,1.30299164733776e-14,1,50,"big",0.7071068,150301,"int12_3","int12_3",1
"int134_2",-41.9551894395979,9.14120277397994e-17,1,50,"big",0.7071068,150301,"int12_3","int12_3",1
"int23_1",-51.10652657163,9.69679299023952e-21,1,50,"big",0.7071068,150301,"int12_3","int12_3",1
"int13_2",-51.6834471202408,5.44596333992451e-21,1,50,"big",0.7071068,150301,"int12_3","int12_3",1
"int13_4",-55.6402233659283,1.04152242192062e-22,1,50,"big",0.7071068,150301,"int12_3","int12_3",1
"main",-63.1536421793686,5.68371500158885e-26,1,50,"big",0.7071068,150301,"int12_3","int12_3",1
"int14_2",-64.1529335897589,2.09240402914342e-26,1,50,"big",0.7071068,150301,"int12_3","int12_3",1
"int24_1",-64.1535803933436,2.09105109230606e-26,1,50,"big",0.7071068,150301,"int12_3","int12_3",1
