"model","log_marginal","post_prob"
"int12_3",-5.78898650107298,0.660149752165222
"int12_4",-6.69366583395423,0.26714387571474
"x3",-8.0148465939875,0.0712793463957729
"int12",-12.6783364011338,0.000672412563165022
"int23_1",-13.3127551458718,0.000356542461975237
"null",-13.3917101709062,0.000329474287386601
"main",-15.3670867481027,4.57010712459422e-05
"int13_2",-16.070539802909,2.26162502080285e-05
"int23",-20.8769013546986,1.84945726328987e-07
"int34",-21.9998944654498,6.0163707200437e-08
"int24",-23.3797442688305,1.51381719357004e-08
"int13",-23.5362481311354,1.29450779446897e-08
"x1",-25.0192196337744,2.93804422902715e-09
"x2",-25.5027371965522,1.81162923273593e-09
"int34_1",-26.4918287054839,6.73771032657703e-10
"int13_4",-27.2016830604086,3.31303867886525e-10
"int24_3",-29.0534582314016,5.20008889236547e-11
"int34_2",-29.0981934629455,4.97258829665617e-11
"x4",-29.3362182096499,3.91931048590778e-11
"int123_4",-32.3865824534246,1.8554673241525e-12
"int124_3",-35.5615738667616,7.75482603497187e-14
"int234_1",-43.0609169755027,4.2918914533521e-17
"int134_2",-44.4346886602801,1.086493837931e-17
"int14_2",-56.4832702858865,6.35908679639781e-23
"int24_1",-58.9511182360164,5.39041256376803e-24
"int23_4",-62.6902888654714,1.28150656277289e-25
"int14_3",-67.6581003879796,8.91718348962715e-28
"int14",-70.127195055746,7.54941872080674e-29
"full",-81.6890656936331,7.18880817672402e-34
